CAPITULO,COD_CID,DESCRICAO_CID,GRUPO
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D811,Imunodeficięncia combinada grave [SCID] com números baixos de células T e B,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D812,Imunodeficięncia combinada grave [SCID] com números baixos ou normais de células B,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D813,Deficięncia de adenosina-deaminase [ADA],Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D814,Síndrome de nezelof,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D815,Deficięncia de purina-nucleosídeo fosforilase [pnp],Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D816,Deficięncia major classe I do complexo de histocompatibilidade,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D817,Deficięncia major classe II do complexo de histocompatibilidade,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D818,Outras deficięncias imunitárias combinadas,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D819,Deficięncias imunitárias combinadas năo especificadas,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D82,Imunodeficięncia associada com outros defeitos major,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D820,Síndrome de Wiskott-Aldrich,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D821,Síndrome de di George,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D822,Imunodeficięncia com encurtamento de membros,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D823,Imunodeficięncia que se segue ŕ resposta hereditária defeituosa ao vírus de epstein-barr (eb),Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D824,Síndrome da hiperimunoglobulina E [IGE],Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D828,Imunodeficięncias associadas com outros defeitos major especificados,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D829,Imunodeficięncia associada com defeitos major năo especificados,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D83,Imunodeficięncia comum váriavel,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D830,Imunodeficięncia comum variável com predominância de anormal. do número e da funçăo das células B,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D831,Imunodeficięncia comum variável com predominância de transtornos imunorregulatórios de células T,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D832,Imunodeficięncia comum variável com auto-anticorpos ŕs células B ou T,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D838,Outras imunodeficięncias comuns variáveis,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D839,Imunodeficięncia comum variável năo especificada,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D84,Outras imunodeficięncias,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D840,Defeito do antígeno-1 da funçăo de linfócito [LFA-1,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D841,Defeitos no sistema complemento,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D848,Outras imunodeficięncias especificadas,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D849,Imunodeficięncia năo especificada,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D86,Sarcoidose,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D860,Sarcoidose do pulmăo,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D861,Sarcoidose dos gânglios linfáticos,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D862,Sarcoidose do pulmăo com sarcoidose dos gânglios linfáticos,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D863,Sarcoidose da pele,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D868,Sarcoidose de outros locais especificados e locais combinados,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D869,Sarcoidose năo especificada,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D89,Outros transtornos que comprometem o mecanismo imunitário năo classificados em outra parte,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D890,Hipergamaglobulinemia policlonal,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D891,Crioglobulinemia,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D892,Hipergamaglobulinemia năo especificada,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D898,Outros transtornos especificados que comprometem o mecanismo imunitário ń classificados noutra parte,Alguns transtornos que comprometem o mecanismo imunitário
Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,D899,Transtornos năo especificados que comprometem o mecanismo imunitário,Alguns transtornos que comprometem o mecanismo imunitário
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E00,Síndrome de deficięncia congęnita de iodo,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E000,Síndrome da deficięncia congęnita de iodo do tipo neurológico,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E001,Síndrome da deficięncia congęnita de iodo do tipo mixedematoso,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E002,Síndrome da deficięncia congęnita de iodo do tipo misto,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E009,"Síndrome da deficięncia congęnita de iodo, năo especificada",Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E01,Transtornos tireoidianos e afecçőes associadas relacionados a deficięncia de iodo,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E010,Bócio (endęmico) difuso por deficięncia de iodo,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E011,Bócio (endęmico) multinodular por deficięncia de iodo,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E012,"Bócio (endęmico) năo especificado, por deficięncia de iodo",Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E018,"Outros transtornos tireoidianos e afecçőes associadas, relacionados com a deficięncia de iodo",Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E02,Hipotireoidismo subclínico por deficięncia de iodo,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E03,Outros hipotireoidismos,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E030,Hipotireoidismo congęnito com bócio difuso,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E031,Hipotireoidismo congęnito sem bócio,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E032,Hipotireoidismo devido a medicamentos e outras substâncias exógenas,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E033,Hipotireoidismo pós-infeccioso,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E034,Atrofia (adquirida) da tireóide,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E035,Coma mixedematoso,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E038,Outros hipotireoidismos especificados,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E039,Hipotireoidismo năo especificado,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E04,Outros bocios năo-tóxicos,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E040,Bócio năo-tóxico difuso,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E041,Bócio năo-tóxico uninodular,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E042,Bócio năo-tóxico multinodular,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E048,Outro bócio năo-tóxico especificado,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E049,"Bócio năo-tóxico, năo especificado",Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E05,Tireotóxicose (hipertireoidismo),Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E050,Tireotoxicose com bócio difuso,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E051,Tireotoxicose com bócio tóxico uninodular,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E052,Tireotoxicose com bócio tóxico multinodular,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E053,Tireotoxicose causada por tecido tireoidiano ectópico,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E054,Tireotoxicose factícia,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E055,Crise ou tempestade tireotóxica,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E058,Outras tireotoxicoses,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E059,Tireotoxicose năo especificada,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E06,Tireoidite,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E060,Tireoidite aguda,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E061,Tireoidite subaguda,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E062,Tireoidite crônica com tireotoxicose transitória,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E063,Tireoidite auto-imune,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E064,Tireoidite induzida por droga,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E065,Outras tireoidites crônicas,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E069,Tireoidite năo especificada,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E07,Transtornos da tireóide,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E070,Hipersecreçăo de calcitonina,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E071,Bócio disormonogęnico,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E078,Outros transtornos especificados da tireóide,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E079,Transtorno năo especificado da tireóide,Transtornos da glândula tireóide
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E10,Diabetes mellitus insulino-dependente,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E100,Diabetes Mellitus insulino-dependente - com coma,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E101,Diabetes Mellitus insulino-dependente - com cetoacidose,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E102,Diabetes Mellitus insulino-dependente - com complicaçőes renais,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E103,Diabetes Mellitus insulino-dependente - com complicaçőes oftálmicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E104,Diabetes Mellitus insulino-dependente - com complicaçőes neurológicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E105,Diabetes Mellitus insulino-dependente - com complicaçőes circulatórias periféricas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E106,Diabetes Mellitus insulino-dependente - com outras complicaçőes especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E107,Diabetes Mellitus insulino-dependente - com complicaçőes múltiplas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E108,Diabetes Mellitus insulino-dependente - com complicaçőes năo especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E109,Diabetes Mellitus insulino-dependente - sem complicaçőes,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E11,Diabetes mellitus năo-insulino-dependente,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E110,Diabetes Mellitus năo-insulino-dependente - com coma,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E111,Diabetes Mellitus năo-insulino-dependente - com cetoacidose,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E112,Diabetes Mellitus năo-insulino-dependente - com complicaçőes renais,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E113,Diabetes Mellitus năo-insulino-dependente - com complicaçőes oftálmicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E114,Diabetes Mellitus năo-insulino-dependente - com complicaçőes neurológicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E115,Diabetes Mellitus năo-insulino-dependente - com complicaçőes circulatórias periféricas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E116,Diabetes Mellitus năo-insulino-dependente - com outras complicaçőes especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E117,Diabetes Mellitus năo-insulino-dependente - com complicaçőes múltiplas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E118,Diabetes Mellitus năo-insulino-dependente - com complicaçőes năo especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E119,Diabetes Mellitus năo-insulino-dependente - sem complicaçőes,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E12,Diabetes mellitus relacionado com a desnutriçăo,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E120,Diabetes Mellitus relacionado com a desnutriçăo - com coma,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E121,Diabetes Mellitus relacionado com a desnutriçăo - com cetoacidose,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E122,Diabetes Mellitus relacionado com a desnutriçăo - com complicaçőes renais,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E123,Diabetes Mellitus relacionado com a desnutriçăo - com complicaçőes oftálmicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E124,Diabetes Mellitus relacionado com a desnutriçăo - com complicaçőes neurológicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E125,Diabetes Mellitus relacionado com a desnutriçăo - com complicaçőes circulatórias periféricas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E126,Diabetes Mellitus relacionado com a desnutriçăo - com outras complicaçőes especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E127,Diabetes Mellitus relacionado com a desnutriçăo - com complicaçőes múltiplas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E128,Diabetes Mellitus relacionado com a desnutriçăo - com complicaçőes năo especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E129,Diabetes Mellitus relacionado com a desnutriçăo - sem complicaçőes,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E13,Outros tipos especificados de diabetes mellitus,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E130,Outros tipos especificados de diabetes Mellitus - com coma,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E131,Outros tipos especificados de diabetes Mellitus - com cetoacidose,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E132,Outros tipos especificados de diabetes Mellitus - com complicaçőes renais,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E133,Outros tipos especificados de diabetes Mellitus - com complicaçőes oftálmicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E134,Outros tipos especificados de diabetes Mellitus - com complicaçőes neurológicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E135,Outros tipos especificados de diabetes Mellitus - com complicaçőes circulatórias periféricas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E136,Outros tipos especificados de diabetes Mellitus - com outras complicaçőes especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E137,Outros tipos especificados de diabetes Mellitus - com complicaçőes múltiplas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E138,Outros tipos especificados de diabetes Mellitus - com complicaçőes năo especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E139,Outros tipos especificados de diabetes Mellitus - sem complicaçőes,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E14,Diabetes mellitus năo especificado,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E140,Diabetes Mellitus năo especificado - com coma,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E141,Diabetes Mellitus năo especificado - com cetoacidose,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E142,Diabetes Mellitus năo especificado - com complicaçőes renais,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E143,Diabetes Mellitus năo especificado - com complicaçőes oftálmicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E144,Diabetes Mellitus năo especificado - com complicaçőes neurológicas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E145,Diabetes Mellitus năo especificado - com complicaçőes circulatórias periféricas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E146,Diabetes Mellitus năo especificado - com outras complicaçőes especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E147,Diabetes Mellitus năo especificado - com complicaçőes múltiplas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E148,Diabetes Mellitus năo especificado - com complicaçőes năo especificadas,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E149,Diabetes Mellitus năo especificado - sem complicaçőes,Diabetes mellitus
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E15,Coma hipoglicęmico năo-diabético,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E16,Outros transtornos da secreçăo pancreática interna,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E160,Hipoglicemia induzida por droga sem coma,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E161,Outra hipoglicemia,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E162,Hipoglicemia năo especificada,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E163,Aumento da secreçăo de glucagon,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E164,Secreçăo anormal de gastrina,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E168,Outros transtornos especificados da secreçăo pancreática interna,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E169,Transtorno năo especificado da secreçăo pancreática interna,Outros transtornos da regulação da glicose e da secreção pancreática interna
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E20,Hipoparatireoidismo,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E200,Hipoparatireoidismo idiopático,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E201,Pseudohipoparatireoidismo,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E208,Outro hipoparatireoidismo,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E209,Hipoparatireoidismo năo especificado,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E21,Hiperparatireoidismo e outros transtornos da glândula paratireóide,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E210,Hiperparatireoidismo primário,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E211,Hiperparatireoidismo secundário năo classificado em outra parte,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E212,Outro hiperparatireoidismo,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E213,Hiperparatireoidismo năo especificado,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E214,Outros transtornos especificados da glândula paratireóide,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E215,Transtorno năo especificado da glândula paratireóide,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E22,Hiperfunçăo da hipofise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E220,Acromegalia e gigantismo hipofisário,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E221,Hiperprolactinemia,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E222,Síndrome da secreçăo inadequada de hormônio antidiurético,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E228,Outras hiperfunçőes da hipófise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E229,Hiperfunçăo năo especificada da hipófise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E23,Hipofunçăo e outros transtornos da hipofise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E230,Hipopituitarismo,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E231,Hipopituitarismo induzido por droga,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E232,Diabetes insípido,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E233,Disfunçăo hipotalâmica năo classificada em outra parte,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E236,Outros transtornos da hipófise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E237,Transtorno năo especificado da hipófise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E24,Síndrome de cushing,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E240,Síndrome de Cushing dependente da hipófise,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E241,Síndrome de Nelson,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E242,Síndrome de Cushing induzida por droga,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E243,Síndrome do Acth ectópico,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E244,Síndrome de pseudo-Cushing induzida pelo álcool,Transtornos de outras glândulas endócrinas
"Capítulo IV - Doenças endócrinas, nutricionais e metabólicas",E248,Outra síndrome de Cushing,Transtornos de outras glândulas endócrinas
