CHAVE;DS_REGRA
211070114;AVALIACAO VOCAL
211070122;ELETROCOCLEOGRAFIA
211070130;ELETROGUSTOMETRIA
211070149;EMISSOES OTOACUSTICAS EVOCADAS P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA)
211070157;ESTUDO DE EMISSOES OTOACUSTICAS EVOCADAS TRANSITORIAS E PRODUTOS DE DISTORCAO (EOA)
211070165;ESTUDO TOPODIAGNOSTICO DA PARALISIA FACIAL
211070173;EXAME DE ORGANIZACAO PERCEPTIVA
211070181;EXAME NEUROPSICOMOTOR EVOLUTIVO
211070190;GUSTOMETRIA
211070203;IMITANCIOMETRIA
211070211;LOGOAUDIOMETRIA (LDV-IRF-LRF)
211070220;OLFATOMETRIA
211070238;PESQUISA DE FISTULA PERILINFATICA
211070246;PESQUISA DE GANHO DE INSERCAO
211070254;PESQUISA DE PARES CRANIANOS
211070262;POTENCIAL EVOCADO AUDITIVO DE CURTA MEDIA E LONGA LATENCIA
211070270;POTENCIAL EVOCADO AUDITIVO P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA)
211070289;PROVA DE FUNCAO TUBARIA
211070297;REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MAIOR DE 3 ANOS
211070300;REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MENOR DE 3 ANOS
211070319;SELECAO E VERIFICACAO DE BENEFICIO DO AASI
211070327;TESTES ACUMETRICOS (DIAPASAO)
211070335;TESTES AUDITIVOS SUPRALIMINARES
211070343;TESTES DE PROCESSAMENTO AUDITIVO
211070351;TESTES VESTIBULARES / OTONEUROLOGICOS
211070360;TRIAGEM AUDITIVA DE ESCOLARES
211070378;AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA IMPLANTE COCLEAR
211070386;MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS
211070394;POTENCIAL EVOCADO ELETRICAMENTE NO SISTEMA AUDITIVO
211070408;REFLEXO ESTAPEDIANO ELICIADO ELETRICAMENTE
211070416;AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO
211080012;ESPIROGRAFIA C/ DETERMINACAO DO VOLUME RESIDUAL
211080020;GASOMETRIA
211080039;GASOMETRIA (APOS EXERCICIO CICLO-ERGOMETRICO)
211080047;GASOMETRIA (APOS OXIGENIO A 100 DURANTE A DIFUSAO ALVEOLO-CAPILAR)
211080055;ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR
211080063;PROVA DE FUNCAO PULMONAR SIMPLES
211080071;PROVA FARMACODINAMICA
211080080;TESTE DA CAMINHADA DE 6 MINUTOS
211090018;AVALIACAO URODINAMICA COMPLETA
211090026;CATETERISMO DE URETRA
211090034;CISTOMETRIA C/ CISTOMETRO
211090042;CISTOMETRIA SIMPLES
211090050;DETERMINACAO DE PRESSAO INTRA-ABDOMINAL
211090069;PERFIL DE PRESSAO URETRAL
211090077;UROFLUXOMETRIA
211100013;APLICAÇÃO DE TESTE P/ PSICODIAGNÓSTICO
211120014;VIDEOSCOPIA P/ DIAGNOSTICO / DRENAGEM / TOALETE / BIOPSIA
211120022;VIDEOSCOPIA P/ SINTESE / RECONSTRUCAO / TRANSPLANTE DE ESTRUTURAS
212010018;EXAMES IMUNOHEMATOLOGICOS EM DOADOR DE SANGUE
212010026;EXAMES PRE-TRANSFUSIONAIS I
212010034;EXAMES PRE-TRANSFUSIONAIS II
212010042;FENOTIPAGEM K, FYA, FYB, JKA, JKB EM GEL
212010050;SOROLOGIA DE DOADOR DE SANGUE
212010069;TESTE DO ÁCIDO NUCLEICO (NAT) EM AMOSTRAS DE SANGUE DO DOADOR DE SANGUE.
212020013;DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS
212020021;DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS
212020030;IRRADIACAO DE SANGUE E COMPONENTES DESTINADOS A TRANSFUSAO
212020048;PREPARO DE COMPONENTES ALIQUOTADOS
212020056;PREPARO DE COMPONENTES LAVADOS
212020064;PROCESSAMENTO DE SANGUE
213010011;DETERMINACAO DE CARGA VIRAL DO HIV POR RT-PCR
213010020;ENSAIO IMUNOENZIMATICO -TESTE DE ELISA P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
213010038;ENSAIO IMUNOENZIMATICO-ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE DO NILO OCIDENTAL
213010046;ENSAIO IMUNOENZIMATICO-TESTE DE ELISA P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA)
213010054;EXAME PARASITOLOGICO DIRETO P/ LEISHMANIAS (LEISHMANIOSE TEGUMENTAR AMERICANA)
213010062;EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGAS1 (LEISHMANIOSE VISCERAL CANINA)
213010070;EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGASI (LEISHMANIOSE VISCERAL HUMANA)
213010089;FAGOTIPAGEM P/ IDENTIFICACAO DA SALMONELA TYPHI (FEBRE TIFOIDE)
213010097;HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE A
213010100;HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE D
213010119;HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE
213010127;HISTOPATOLOGIA P/ IDENTIFICACAO DE FEBRE AMARELA
213010135;HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE B
213010143;HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE C
213010151;HISTOPATOLOGIA P/ IDENTIFICACAO DO ANTRAZ / CARBUNCULO
213010160;HISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE A
213010178;HISTOQUIMICA P/ IDENTIFICACAO DE HEPATITE C
213010186;IDENTIFICACAO DE VIRUS DA RAIVA POR RT-PCR
213010194;IDENTIFICACAO DO HANTAVIRUS POR RT-PCR (HANTAVIROSE)
213010208;IDENTIFICACAO DO VIRUS DA HEPATITE B POR PCR (QUANTITATIVO)
213010216;IMUNOCROMATOGRAFIA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
213010224;IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
213010232;IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA RAIVA
213010240;IMUNOFLUORESCENCIA INDIRETA P/ (IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
213010259;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
213010267;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
213010275;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DO SHISTOSSOMA MANSONI
213010283;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DO VIRUS DA RAIVA
213010291;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DA RICKETTISIA RICKETTSII (FEBRE MACULOSA)
213010305;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
213010313;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
213010321;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO HANTAVIRUS (HANTAVIROSE)
213010330;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA DENGUE
213010348;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
213010356;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE B
213010364;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE D
213010372;ISOLAMENTO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
213010380;ISOLAMENTO DO VIRUS DA DENGUE
213010399;ISOLAMENTO DO VIRUS DA FEBRE DO NILO OCIDENTAL
213010402;ISOLAMENTO DO VIRUS DA INFLUENZA
213010410;ISOLAMENTO DO VIRUS DA MENINGITE VIRAL
213010429;ISOLAMENTO DO VIRUS DA POLIOMIELITE
213010437;ISOLAMENTO DO VIRUS DA RAIVA
213010445;ISOLAMENTO DO VIRUS DO SARAMPO
213010453;MICRO-AGLUTINACAO P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
213010461;PESQUISA DE TRIPANOSSOMAS (NO BARBEIRO)
213010470;PROVA BIOLOGICA P/ IDENTIFICACAO DO VIRUS DA RAIVA
213010488;PROVA CONTRA-IMUNOELETROFORESE P/ MENINGOCOCOS (MENINGITE BACTERIANA)
213010496;PROVA DE TOXIGENICIDADE P/ BACILO DIFTERICO (IN VITRO)
213010500;QUANTIFICACAO DA CARGA VIRAL DO HIV (RNA)
213010518;SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA MENINGITE VIRAL
213010526;SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA POLIOMIELITE
213010534;SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DO SARAMPO
213010542;GENOTIPAGEM DO HCV
213010550;SOROLOGIA P/ IDENTIFICACAO DO VIBRIO CHOLERAE
213010569;TESTE DE ELISA IGG P/ IDENTIFICACAO DE PARVOVIRUS (PARVOVIROSE)
213010577;TESTE DE ELISA IGG P/ IDENTIFICACAO DO TOXOPLASMA GONDII (TOXOPLASMOSE)
213010585;TESTE DE ELISA IGG P/ IDENTIFICACAO DO VIRUS DO SARAMPO
213010593;TESTE DE ELISA IGM P/ IDENTIFICACAO DE SHIGUELAS (SHIGUELOSE)
213010607;TESTE DE ELISA IGM P/ IDENTIFICACAO DO PARVOVIRUS (PARVOVIROSE)
213010615;TESTE DE ELISA IGM P/ IDENTIFICACAO DO VIRUS DO SARAMPO
213010623;TESTE DE ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA (ENSAIO IMUNOENZIMATICO)
213010631;TESTE DE HEMAGLUTINACAO INDIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
213010640;TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA)
213010658;TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
213010666;TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE DO NILO OCIDENTAL
213010674;TESTE DE HIBRIDIZACAO IN SITU P/ IDENTIFICACAO DO VIRUS DA DENGUE
213010682;TESTE DE NEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
213010690;TESTE DE SENSIBILIDADE A DROGAS CONTRA A TUBERCULOSE
213010704;TESTE DE SORONEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA RAIVA
213010712;TESTE DOT-ELISA P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA)
213020017;ANALISE DE BACTERIAS PATOGENICAS EM AGUA
213020025;ANALISE DE BACTERIAS PATOGENICAS EM SOLO
213020033;ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA
213020041;ANALISE DE METAIS PESADOS
213020050;ANALISE DE RESIDUOS DE PESTICIDAS
213020068;ANALISE FISICO-QUIMICA DE AGUA
213020076;CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE AGUA
213020084;CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE ALIMENTOS
214010015;GLICEMIA CAPILAR
214010023;PESQUISA DE CORPOS CETONICOS NA URINA
214010031;PESQUISA DE GLICOSE NA URINA
214010040;TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO
214010058;TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV
214010066;TESTE RÁPIDO DE GRAVIDEZ
214010074;TESTE RÁPIDO PARA SÍFILIS
214010082;TESTE RÁPIDO PARA SÍFILIS NA GESTANTE OU PAI/PARCEIRO
214010090;TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C
214010104;TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV
214010112;TESTE RÁPIDO PARA VÍRUS ZIKA IGG/IGM
214010120;TESTE RÁPIDO PARA DENGUE IGG/IGM
214010139;TESTE RÁPIDO PARA FEBRE CHIKUNGUNYA IGM
301010013;CONSULTA AO PACIENTE CURADO DE TUBERCULOSE (TRATAMENTO SUPERVISIONADO)
301010021;CONSULTA COM IDENTIFICAÇÃO DE CASOS NOVOS DE TUBERCULOSE
301010030;CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO BÁSICA (EXCETO MÉDICO)
301010048;CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)
301010056;CONSULTA MEDICA EM SAUDE DO TRABALHADOR
301010064;CONSULTA MEDICA EM ATENÇAO BASICA
301010072;CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA
301010080;CONSULTA PARA ACOMPANHAMENTO DE CRESCIMENTO E DESENVOLVIMENTO (PUERICULTURA)
301010099;CONSULTA PARA AVALIAÇÃO CLÍNICA DO FUMANTE
301010102;CONSULTA PARA DIAGNÓSTICO/REAVALIAÇÃO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)
301010110;CONSULTA PRE-NATAL
301010129;CONSULTA PUERPERAL
301010137;CONSULTA/ATENDIMENTO DOMICILIAR
301010145;PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NASCIDO
301010153;PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA
301010161;CONSULTA/ATENDIMENTO DOMICILIAR NA ATENÇÃO ESPECIALIZADA
301010170;CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO
301010188;CONSULTA MÉDICA OFTALMOLOGICA ESPECIALIZADA - PROJETO OLHAR BRASIL
301010196;AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 1-ANOMALIAS CONGÊNITAS OU DE MANI
301010200;AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 2- DEFICIÊNCIA INTELECTUAL
301010218;AVALIAÇÃO CLÍNICA DE DIAGNÓSTICO DE DOENÇAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO
301010226;ACONSELHAMENTO GENÉTICO
301010234;CONSULTA PRÉ-NATAL DO PARCEIRO
301020019;ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO
301020027;ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO
301020035;EMISSÃO DE PARECER SOBRE NEXO CAUSAL
301030014;SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS
301030022;ATENDIMENTO PRE-HOSPITALAR MOVEL (VEICULO DE INTERVENÇÃO RÁPIDA)
301030030;ATENDIMENTO PRÉ-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANÇADO DE VIDA REALIZADO POR AVIÃO (AMBULÂ
301030049;SAMU 192:ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR AEROMÉDICO
301030057;SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR EMBARCAÇÃO
301030065;ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE
301030073;ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE MEDICALIZADO
301030081;ATENDIMENTO PRE-HOSPITALAR MOVEL PELO SAMU 192: SALVAMENTO E RESGATE (AMBULANCIA TIPO C)
301030090;SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MÓVEL REALIZADO PELA EQUIPE DA UNIDADE DE SUPORTE AVANÇADO DE
301030103;SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO PELA EQUIPE DE SUPORTE BASICO DE VIDA TERRESTRE
301030111;REGULACAO MEDICA DE URGENCIA DA CENTRAL SAMU 192 C/ ACIONAMENTO DE MULTIPLOS MEIOS
301030120;SAMU 192: ENVIO DE UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA) E/OU AQUATICO (EQUIPE DE EMBA
301030138;SAMU 192: ENVIO DE UNIDADE DE SUPORTE BASICO DE VIDA TERRESTRE (USB) E/OU AQUATICO (EQUIPE DE EMBARC
301030146;SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS COM ORIENTAÇ
301030154;REMOCAO EM AMBULANCIA DE SIMPLES TRANSPORTE (AMBULANCIA TIPO A)
301030162;ATENDIMENTO PRE-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANCADO DE VIDA REALIZADO POR EMBARCACAO (AMBU
301030170;SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
301030189;SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORET BASICO DE VIDA TERRESTRE (USB)
301030197;ATENDIMENTO PRÉ-HOSPITALAR MÓVEL (MOTOLÂNCIA)
301040010;ATENDIMENTO CLINICO PARA INDICAÇÃO E FORNECIMENTO DO DIAFRAGMA UTERINO
301040028;ATENDIMENTO CLINICO PARA INDICAÇÃO, FORNECIMENTO E INSERÇÃO DO DISPOSITIVO INTRA-UTERINO (DIU)
301040036;TERAPIA EM GRUPO
301040044;TERAPIA INDIVIDUAL
301040052;ATENDIMENTO MULTIPROFISSIONAL PARA ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLÊNCIA SEXUAL
301040060;COLETA DE VESTÍGIOS DE VIOLÊNCIA SEXUAL
301040079;ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONT NEA)
301040087;ATENDIMENTO EM GRUPO NA ATENÇÃO BÁSICA
301040095;EXAME DO PÉ DIABÉTICO
301040109;SESSÃO DE AURICULOTERAPIA
301040117;SESSÃO DE MASSOTERAPIA
301040125;ORIENTAÇÃO DE TRATAMENTO TERMAL/CRENOTERÁPICO
301050015;ACOMPANHAMENTO E AVALIACAO DOMICILIAR DE PACIENTE SUBMETIDO À VENTILAÇÃO MECANICA NÃO INVASIVA -
301050023;ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL.
301050031;ASSISTÊNCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENÇÃO ESPECIALIZADA
301050040;ASSISTENCIA DOMICILIAR TERAPEUTICA MULTIPROFISSIONAL EM HIV/AIDS (ADTM)
301050058;ASSISTENCIA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO
301050066;INSTALACAO / MANUTENCAO DE VENTILAÇÃO MECÂNICA NÃO INVASIVA DOMICILIAR
301050074;INTERNAÇÃO DOMICILIAR
301050082;ANTIBIOTICOTERAPIA PARENTERAL
301050090;ATENDIMENTO MEDICO COM FINALIDADE DE ATESTAR ÓBITO
301050104;VISITA DOMICILIAR PÓS ÓBITO
301050112;ADMINISTRAÇÃO DE IMUNODERIVADOS (ORAL E/OU PARENTERAL)
301050120;TERAPIA DE REIDRATAÇÃO PARENTERAL
301050139;BUSCA ATIVA
301050147;VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL SUPERIOR
301050155;ACOMPANHAMENTO DE PACIENTE EM TERAPIA NUTRICIONAL
301060010;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA PEDIATRICA
301060029;ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
301060037;ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA
301060045;ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA COM OBSERVAÇÃO ATÉ 8 HORAS
301060053;ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA COM REMOÇÃO
301060061;ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
301060070;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA CIRURGICA
301060088;DIAGNOSTICO E/OU ATENDIMENTO DE URGENCIA EM CLINICA MEDICA
301060096;ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO
301060100;ATENDIMENTO ORTOPÉDICO COM IMOBILIZAÇÃO PROVISÓRIA
301060118;ACOLHIMENTO COM CLASSIFICAÇÃO DE RISCO
301070016;ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR
301070024;ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA
301070032;ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / B
301070040;ACOMPANHAMENTO NEUROPSICOLÓGICO DE PACIENTE EM REABILITAÇÃO
301070059;ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO
301070067;ATENDIMENTO / ACOMPANHAMENTO EM REABILITAÇÃO NAS MULTIPLAS DEFICIÊNCIAS
301070075;ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR
301070083;ATENDIMENTO EM OFICINA TERAPÊUTICA I PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA)
301070091;ATENDIMENTO EM OFICINA TERAPÊUTICA II PARA PORTADOR DE NECESSIDADES ESPECIAIS (POR OFICINA)
301070105;ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE-DIA - 15
301070113;TERAPIA FONOAUDIOLÓGICA INDIVIDUAL
301070121;TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (1 TURNO PACIENTE- DIA - 20 ATENDIMENTOS-M
301070130;TRATAMENTO INTENSIVO DE PACIENTE EM REABILITAÇÃO FÍSICA (2 TURNOS PACIENTE-DIA - 20 ATENDIMENTOS-M
301070148;TREINO DE ORIENTAÇÃO E MOBILIDADE
301070156;AVALIAÇÃO MULTIPROFISSIONAL EM DEFICIÊNCIA VISUAL
301070164;ATENDIMENTO/ACOMPANHAMENTO EM REABILITAÇÃO VISUAL
301070172;MANUTENÇÃO DA PRÓTESE DE IMPLANTE COCLEAR
301070180;ACOMPANHAMENTO DE PACIENTE COM PRÓTESE AUDITIVA ANCORADA NO OSSO
301070199;ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR
301070202;ESTIMULAÇÃO PRECOCE PARA DESENVOLVIMENTO NEUROPSICOMOTOR
301080011;ABORDAGEM COGNITIVA COMPORTAMENTAL DO FUMANTE (POR ATENDIMENTO / PACIENTE)
301080020;ACOLHIMENTO NOTURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080038;ACOLHIMENTO EM TERCEIRO TURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080046;ACOMPANHAMENTO DE PACIENTE EM SAUDE MENTAL (RESIDENCIA TERAPEUTICA)
301080054;ACOMPANHAMENTO INTENSIVO DE CRIANCA E ADOLESCENTE C/ TRANSTORNOS MENTAIS
301080062;ACOMPANHAMENTO INTENSIVO DE PACIENTE EM SAUDE MENTAL
301080070;ACOMPANHAMENTO INTENSIVO P/ USUÁRIO DE ALCOOL / DROGAS
301080089;ACOMPANHAMENTO NAO INTENSIVO DE CRIANCA E ADOLESCENTE C/ TRANSTORNOS MENTAIS
301080097;ACOMPANHAMENTO NAO INTENSIVO DE PACIENTE USUÁRIO DE ALCOOL / DROGAS
301080100;ACOMPANHAMENTO NAO INTENSIVO DE PACIENTE EM SAUDE MENTAL
301080119;ACOMPANHAMENTO SEMI-INTENSIVO DE CRIANCA E ADOLESCENTE COM TRANSTORNOS MENTAIS
301080127;ACOMPANHAMENTO SEMI-INTENSIVO DE PACIENTES EM SAUDE MENTAL
301080135;ACOMPANHAMENTO SEMI-INTENSIVO PARA USUÁRIO DE ALCOOL / DROGAS
301080143;ATENDIMENTO EM OFICINA TERAPEUTICA I - SAUDE MENTAL
301080151;ATENDIMENTO EM OFICINA TERAPEUTICA II - SAUDE MENTAL
301080160;ATENDIMENTO EM PSICOTERAPIA DE GRUPO
301080178;ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA
301080186;ACOLHIMENTO NOTURNO DE PACIENTE DE CENTRO DE ATENÇÃO PSICOSSOCIA ÁLCOOL E DROGAS III
301080194;ACOLHIMENTO DIURNO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080208;ATENDIMENTO INDIVIDUAL DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080216;ATENDIMENTO EM GRUPO DE PACIENTE EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080224;ATENDIMENTO FAMILIAR EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080232;ACOLHIMENTO INICIAL POR CENTRO DE ATENÇÃO PSICOSSOCIAL
301080240;ATENDIMENTO DOMICILIAR PARA PACIENTES DE CENTRO DE ATENÇÃO PSICOSSOCIAL E/OU FAMILIARES
301080259;AÇÕES DE ARTICULAÇÃO DE REDES INTRA E INTERSETORIAIS
301080267;FORTALECIMENTO DO PROTAGONISMO DE USUÁRIOS DE CENTRO DE ATENÇÃO PSICOSSOCIAL E SEUS FAMILIARES
301080275;PRÁTICAS CORPORAIS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080283;PRÁTICAS EXPRESSIVAS E COMUNICATIVAS EM CENTRO DE ATENÇÃO PSICOSSOCIAL
301080291;ATENÇÃO ÀS SITUAÇÕES DE CRISE
301080305;MATRICIAMENTO DE EQUIPES DA ATENÇÃO BÁSICA
301080313;AÇÕES DE REDUÇÃO DE DANOS
301080321;ACOMPANHAMENTO DE SERVIÇO RESIDENCIAL TERAPÊUTICO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
301080330;APOIO À SERVIÇO RESIDENCIAL DE CARÁTER TRANSITÓRIO POR CENTRO DE ATENÇÃO PSICOSSOCIAL
301080348;AÇÕES DE REABILITAÇÃO PSICOSSOCIAL
301080356;PROMOÇÃO DE CONTRATUALIDADE NO TERRITÓRIO
301080364;ACOMPANHAMENTO DE PESSOAS COM NECESSIDADES DECORRENTES DO USO DE ÁLCOOL, CRACK E OUTRAS DROGAS EM SE
301080372;ACOMPANHAMENTO DE PESSOAS ADULTAS COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO USO DE CRACK,
301080380;ACOMPANHAMENTO DA POPULAÇÃO INFANTO-JUVENIL COM SOFRIMENTO OU TRANSTORNOS MENTAIS DECORRENTES DO US
301080399;MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENÇÃO DA URGÊNCIA E EMERGÊNCIA, E DOS SERVIÇOS HOSPITAL
301090017;ATENDIMENTO EM GERIATRIA (1 TURNO)
301090025;ATENDIMENTO EM GERIATRIA (2 TURNOS)
301090033;AVALIAÇÃO MULTIDIMENSIONAL DA PESSOA IDOSA
301100012;ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.
301100020;ADMINISTRAÇÃO DE MEDICAMENTOS EM ATENÇÃO BÁSICA (POR PACIENTE)
